timestamp,cmd_torque,cmd_torque_clamped,target_position,position,velocity,estimated_torque,valid
26.419011,-0.868316,-0.868316,0.000000,-4.138423,-6.735557,-0.300913,1
26.420007,-0.803283,-0.803283,0.000000,-4.145326,-6.743614,-0.423353,1
26.421009,-0.726218,-0.726218,0.000000,-4.151846,-6.767785,-0.439436,1
26.422007,-0.639118,-0.639118,0.000000,-4.158749,-6.842982,-0.433729,1
26.423007,-0.543845,-0.543845,0.000000,-4.166035,-6.997406,-0.536973,1
26.424008,-0.443113,-0.443113,0.000000,-4.172555,-6.949065,-0.353832,1
26.425008,-0.340377,-0.340377,0.000000,-4.179842,-7.014863,-0.228278,1
26.426004,-0.239451,-0.239451,0.000000,-4.186745,-7.045747,-0.162908,1
26.427003,-0.143509,-0.143509,0.000000,-4.194031,-7.171972,-0.197150,1
26.428003,-0.056398,-0.056398,0.000000,-4.200935,-7.056490,-0.219459,1
26.429004,0.018242,0.018242,0.000000,-4.207838,-7.084689,-0.313364,1
26.430004,0.076875,0.076875,0.000000,-4.215124,-7.035005,-0.311289,1
26.431004,0.116990,0.116990,0.000000,-4.222027,-7.075289,-0.346568,1
26.432003,0.136377,0.136377,0.000000,-4.229314,-7.029633,-0.238655,1
26.433004,0.133683,0.133683,0.000000,-4.236217,-7.057833,-0.121403,1
26.434004,0.108348,0.108348,0.000000,-4.243504,-7.026948,-0.050325,1
26.435004,0.060727,0.060727,0.000000,-4.250407,-7.137059,-0.073153,1
26.436003,-0.007985,-0.007985,0.000000,-4.257694,-7.025605,-0.110508,1
26.437004,-0.095807,-0.095807,0.000000,-4.264597,-7.107517,-0.217383,1
26.438008,-0.200218,-0.200218,0.000000,-4.271500,-7.035005,-0.245399,1
26.439012,-0.317259,-0.317259,0.000000,-4.278786,-7.028291,-0.306101,1
26.440008,-0.441865,-0.441865,0.000000,-4.285690,-6.903409,-0.264595,1
26.441010,-0.571162,-0.571162,0.000000,-4.292593,-7.043062,-0.174322,1
26.442008,-0.699191,-0.699191,0.000000,-4.299496,-7.107517,-0.132298,1
26.443008,-0.821847,-0.821847,0.000000,-4.306782,-7.024262,-0.113102,1
26.444008,-0.934278,-0.934278,0.000000,-4.314069,-7.084689,-0.207007,1
26.445008,-1.031946,-1.031946,0.000000,-4.320972,-7.037690,-0.331004,1
26.446005,-1.110876,-1.110876,0.000000,-4.327875,-7.181372,-0.411420,1
26.447003,-1.168175,-1.168175,0.000000,-4.335162,-7.145116,-0.420759,1
26.448003,-1.201266,-1.201266,0.000000,-4.342065,-6.974578,-0.412976,1
26.449004,-1.208359,-1.208359,0.000000,-4.349352,-7.142430,-0.388073,1
26.450004,-1.188696,-1.188696,0.000000,-4.356638,-7.300882,-0.293130,1
26.451003,-1.142435,-1.142435,0.000000,-4.363925,-7.214942,-0.252663,1
26.452003,-1.070624,-1.070624,0.000000,-4.371212,-7.237770,-0.340861,1
26.453005,-0.975060,-0.975060,0.000000,-4.378498,-7.350566,-0.405713,1
