timestamp,cmd_torque,target_position,position,velocity,estimated_torque,valid
14.831012,-3.800237,0.000000,4.254626,-0.800317,-0.964995,1
14.832006,-3.557881,0.000000,4.253475,-0.913114,-0.927641,1
14.833006,-3.288015,0.000000,4.252325,-1.393841,-0.886654,1
14.834004,-2.999814,0.000000,4.250407,-1.495895,-0.830103,1
14.835004,-2.700048,0.000000,4.248873,-1.655690,-0.779778,1
14.836005,-2.397037,0.000000,4.246955,-1.990051,-0.702475,1
14.837004,-2.099571,0.000000,4.244654,-2.259957,-0.659932,1
14.838004,-1.814859,0.000000,4.242353,-2.211615,-0.632954,1
14.839004,-1.550128,0.000000,4.240052,-2.454665,-0.585223,1
14.840004,-1.311620,0.000000,4.237368,-2.523148,-0.505325,1
14.841005,-1.104381,0.000000,4.234683,-2.551347,-0.491317,1
14.842004,-0.932559,0.000000,4.231999,-2.801111,-0.401044,1
14.843004,-0.798236,0.000000,4.228931,-2.850795,-0.406751,1
14.844010,-0.701874,0.000000,4.226246,-3.028047,-0.392224,1
14.845009,-0.644106,0.000000,4.223178,-3.069674,-0.401563,1
14.846012,-0.622159,0.000000,4.220110,-3.120701,-0.432173,1
14.847012,-0.632877,0.000000,4.217042,-3.186499,-0.405194,1
14.848009,-0.671548,0.000000,4.213974,-3.095187,-0.378216,1
14.849009,-0.733095,0.000000,4.210906,-3.081759,-0.356426,1
14.850009,-0.811413,0.000000,4.207454,-3.140843,-0.336711,1
14.851015,-0.900742,0.000000,4.204386,-3.163671,-0.389630,1
14.852006,-0.992670,0.000000,4.200935,-3.288553,-0.392743,1
14.853004,-1.083048,0.000000,4.197867,-3.241554,-0.326853,1
14.854004,-1.165722,0.000000,4.194798,-3.167699,-0.278085,1
14.855004,-1.235523,0.000000,4.191347,-3.401349,-0.309214,1
14.856004,-1.288434,0.000000,4.187512,-3.494003,-0.274453,1
14.857004,-1.321586,0.000000,4.184060,-3.554430,-0.318552,1
14.858003,-1.333377,0.000000,4.180609,-3.520859,-0.323222,1
14.859003,-1.323469,0.000000,4.177157,-3.695425,-0.278085,1
14.860004,-1.292795,0.000000,4.173322,-3.647084,-0.393780,1
14.861013,-1.243166,0.000000,4.169487,-3.743767,-0.394299,1
14.862009,-1.179026,0.000000,4.165652,-3.790765,-0.424909,1
14.863011,-1.103640,0.000000,4.161817,-3.976073,-0.518296,1
14.864010,-1.022546,0.000000,4.157982,-3.982788,-0.457076,1
14.865009,-0.941173,0.000000,4.154147,-3.986816,-0.473678,1
14.866010,-0.864864,0.000000,4.149928,-3.969359,-0.426984,1
14.867012,-0.799302,0.000000,4.145710,-4.184210,-0.380810,1
14.868006,-0.750230,0.000000,4.141491,-4.028443,-0.456038,1
14.869006,-0.721388,0.000000,4.137656,-4.107669,-0.310770,1
14.870004,-0.716739,0.000000,4.133054,-4.295663,-0.255776,1
14.871010,-0.739076,0.000000,4.129219,-4.188238,-0.210120,1
14.872004,-0.789123,0.000000,4.124617,-4.439344,-0.246437,1
14.873004,-0.867499,0.000000,4.120398,-4.381603,-0.207007,1
14.874004,-0.972516,0.000000,4.116180,-4.335948,-0.264595,1
14.875004,-1.101545,0.000000,4.111577,-4.515885,-0.346049,1
14.876004,-1.250444,0.000000,4.106975,-4.489029,-0.370434,1
14.877004,-1.413932,0.000000,4.102373,-4.627338,-0.452406,1
14.878004,-1.585982,0.000000,4.097771,-4.489029,-0.470046,1
14.879004,-1.759610,0.000000,4.093553,-4.572283,-0.468490,1
14.880012,-1.928786,0.000000,4.088567,-4.799219,-0.491836,1
14.881009,-2.082909,0.000000,4.083581,-4.766991,-0.525040,1
14.882010,-2.216987,0.000000,4.078979,-4.839503,-0.505325,1
14.883013,-2.323689,0.000000,4.073994,-4.762963,-0.477828,1
14.884009,-2.396172,0.000000,4.069008,-4.936186,-0.483535,1
14.885010,-2.430162,0.000000,4.063639,-5.101352,-0.529710,1
14.886008,-2.421347,0.000000,4.058270,-5.183264,-0.574847,1
14.887010,-2.367021,0.000000,4.052901,-5.335002,-0.616871,1
14.888009,-2.266498,0.000000,4.047532,-5.418256,-0.695730,1
14.889009,-2.119917,0.000000,4.041779,-5.653249,-0.683798,1
14.890013,-1.928450,0.000000,4.036410,-5.634449,-0.705069,1
14.891013,-1.697233,0.000000,4.029891,-5.928526,-0.649556,1
14.892004,-1.432876,0.000000,4.024521,-5.880184,-0.626209,1
14.893004,-1.136577,0.000000,4.018385,-6.014466,-0.535417,1
14.894004,-0.817380,0.000000,4.011866,-6.034608,-0.413495,1
14.895008,-0.481503,0.000000,4.005730,-6.223945,-0.388592,1
14.896004,-0.140705,0.000000,3.999210,-6.422681,-0.371471,1
14.897005,0.201110,0.000000,3.993074,-6.321970,-0.332560,1
14.898004,0.534536,0.000000,3.986554,-6.402539,-0.354869,1
14.899004,0.852906,0.000000,3.980035,-6.399854,-0.316477,1
14.900013,1.152299,0.000000,3.973899,-6.440138,-0.218421,1
14.901022,1.424726,0.000000,3.967379,-6.422681,-0.081973,1
14.902020,1.663181,0.000000,3.960859,-6.382397,0.001038,1
14.903016,1.867982,0.000000,3.954340,-6.479080,0.107395,1
14.904011,2.038309,0.000000,3.948204,-6.233345,0.110508,1
14.905011,2.175138,0.000000,3.942067,-6.138005,0.103244,1
14.906023,2.280216,0.000000,3.935931,-6.178289,0.136448,1
14.907017,2.353494,0.000000,3.929795,-5.997009,0.086642,1
14.908011,2.401033,0.000000,3.923659,-6.103092,0.120884,1
14.909007,2.427573,0.000000,3.918290,-5.884213,0.194037,1
14.910009,2.438363,0.000000,3.912537,-5.737846,0.259926,1
14.911021,2.438959,0.000000,3.907168,-5.438398,0.277566,1
14.912006,2.435330,0.000000,3.901416,-5.489425,0.357463,1
14.913005,2.432948,0.000000,3.896430,-5.160436,0.422834,1
14.914004,2.436936,0.000000,3.891061,-5.054353,0.405713,1
14.915010,2.451774,0.000000,3.886075,-5.016755,0.425428,1
14.916004,2.480499,0.000000,3.881473,-4.697165,0.286386,1
14.917004,2.525725,0.000000,3.876871,-4.800562,0.335673,1
14.918048,2.591505,0.000000,3.872269,-4.491714,0.294168,1
14.919013,2.669002,0.000000,3.867667,-4.493057,0.356426,1
14.920010,2.764147,0.000000,3.863832,-4.168096,0.365246,1
14.921011,2.872645,0.000000,3.859613,-4.184210,0.378735,1
14.922009,2.989657,0.000000,3.855778,-3.817621,0.367321,1
